#TF	target
Ino4	YDR169C-A
Ino4	YDR124W
Ino4	YPL254W
Ino4	YDR492W
Ino4	YGR052W
Ino4	YHR202W
Ino4	YER049W
Ino4	YFR001W
Ino4	YHR094C
Ino4	YDR451C
Ino4	YPR013C
Ino4	YNL122C
Ino4	YKR102W
Ino4	YPR036W
Ino4	YDR468C
Ino4	YAL039C
Ino4	YDR497C
Ino4	YDR497C
Ino4	YLR367W
Ino4	YMR263W
Ino4	YNL045W
Ino4	YLL018C
Ino4	YDR275W
Ino4	YKL014C
Ino4	YDR495C
Ino4	YNL102W
Ino4	YDL106C
Ino4	YGL006W-A
Ino4	YLR131C
Ino4	YLR131C
Ino4	YHR123W
Ino4	YOR289W
Ino4	YML005W
Ino4	YML005W
Ino4	YOR229W
Ino4	YIL019W
Ino4	YDR496C
Ino4	YPL042C
Ino4	YLR454W
Ino4	tE(CUC)D
Ino4	YPL158C
Ino4	YDR147W
Ino4	YDR147W
Ino4	YDR184C
Ino4	YJR007W
Ino4	YGR150C
Ino4	YNL238W
Ino4	YIL118W
Ino4	YJR008W
Ino4	YLR133W
Ino4	YLR133W
Ino4	YJR074W
Ino4	YLR278C
Ino4	YDL105W
Ino4	YPL163C
Ino4	YOR235W
Ino4	YFR011C
Ino4	YPL008W
Ino4	YAL027W
Ino4	YDR274C
Ino4	YDL126C
Ino4	YBR085C-A
Ino4	YNR066C
Ino4	YDR103W
Ino4	YNL130C-A
Ino4	YJL152W
Ino4	YGR251W
Ino4	YDR370C
Ino4	YNR055C
Ino4	YJR122W
Ino4	YNL240C
Ino4	YDL137W
Ino4	YGR168C
Ino4	YHR014W
Ino4	YJL048C
Ino4	YGL171W
Ino4	YOR285W
Ino4	YLR253W
Ino4	YBR177C
Ino4	YBR177C
Ino4	YOR313C
Ino4	YGR250C
Ino4	YIL099W
Ino4	YGR156W
Ino4	YHR067W
Ino4	YIL002W-A
Ino4	YBR173C
Ino4	YNL042W-B
Ino4	YKL128C
Ino4	YMR010W
Ino4	YHR121W
Ino4	YBR168W
Ino4	YIL038C
Ino4	YOL117W
Ino4	YMR136W
Ino4	YKL081W
Ino4	YGL077C
Ino4	YDR379W
Ino4	YLR385C
Ino4	YOR315W
Ino4	YGL007W
Ino4	YPL178W
Ino4	YOR341W
Ino4	YBR028C
Ino4	YGL255W
Ino4	YER068W
Ino4	YNL225C
Ino4	YLR055C
Ino4	YLR415C
Ino4	YBL069W
Ino4	YHR104W
Ino4	YDR469W
Ino4	YDR424C
Ino4	YGR154C
Ino4	YDR393W
Ino4	YHR115C
Ino4	YLR106C
Ino4	YPL122C
Ino4	YER043C
Ino4	YER026C
Ino4	YER026C
Ino4	YNL077W
Ino4	YKL149C
Ino4	YJR104C
Ino4	YBR143C
Ino4	YDR415C
Ino4	YPR122W
Ino4	YGR253C
Ino4	YGL005C
Ino4	YGL005C
Ino4	YDR406W
Ino4	YHR156C
Ino4	YDR129C
Ino4	YBL019W
Ino4	YPR113W
Ino4	YPR113W
Ino4	YDR490C
Ino4	YLR056W
Ino4	YOL108C
Ino4	YOL108C
Ino4	YGR135W
Ino4	YHR154W
Ino4	YMR283C
Ino4	YJL211C
Ino4	YLR110C
Ino4	YGR099W
Ino4	YNL103W
Ino4	YGR240C-A
Ino4	YOR360C
Ino4	YGR089W
Ino4	YPR007C
Ino4	YKL179C
Ino4	YEL041W
Ino4	YDR512C
Ino4	YDR374C
Ino4	YHL023C
Ino4	YOR319W
Ino4	YGL117W
Ino4	YJR054W
Ino4	YGR272C
Ino4	YOR153W
Ino4	YLR034C
Ino4	YGR157W
Ino4	YNL043C
Ino4	YNL014W
Ino4	YDR038C
Ino4	YGR238C
Ino4	YBR145W
Ino4	YJR102C
Ino4	YBR066C
Ino4	YGR177C
Ino4	YPL129W
Ino4	YML002W
Ino4	YPR107C
Ino4	YOL107W
Ino4	YOL107W
Ino4	YMR071C
Ino4	YIL155C
Ino4	YHR034C
Ino4	YJR109C
Ino4	YKL068W
Ino4	YOL011W
Ino4	YGR123C
Ino4	YAL064C-A
Ino4	YDR131C
Ino4	YNL146C-A
Ino4	YJL148W
Ino4	YDR297W
Ino4	YPL268W
Ino4	YOR020C
Ino4	YCL054W
Ino4	YDR412W
Ino4	YDR314C
Ixr1	YOR024W
Ixr1	YGR173W
Ixr1	YLR362W
Ixr1	YPL171C
Ixr1	YDR472W
Ixr1	YKR076W
Ixr1	YKR076W
Ixr1	YER052C
Ixr1	snR6
Ixr1	YHR155W
Ixr1	YER070W
Ixr1	YAL064W
Ixr1	YJL216C
Ixr1	YPL156C
Ixr1	YPL156C
Ixr1	YML075C
Ixr1	YLL034C
Ixr1	YER011W
Ixr1	YPR200C
Ixr1	tD(GUC)L1
